id,code,p_code,level,name
730,230751,230700,3,金林区
731,230781,230700,3,铁力市
732,230800,230000,2,佳木斯市
733,230803,230800,3,向阳区
734,230804,230800,3,前进区
735,230805,230800,3,东风区
736,230811,230800,3,郊区
737,230822,230800,3,桦南县
738,230826,230800,3,桦川县
739,230828,230800,3,汤原县
740,230881,230800,3,同江市
741,230882,230800,3,富锦市
742,230883,230800,3,抚远市
743,230900,230000,2,七台河市
744,230902,230900,3,新兴区
745,230903,230900,3,桃山区
746,230904,230900,3,茄子河区
747,230921,230900,3,勃利县
748,231000,230000,2,牡丹江市
749,231002,231000,3,东安区
750,231003,231000,3,阳明区
751,231004,231000,3,爱民区
752,231005,231000,3,西安区
753,231025,231000,3,林口县
754,231081,231000,3,绥芬河市
755,231083,231000,3,海林市
756,231084,231000,3,宁安市
757,231085,231000,3,穆棱市
758,231086,231000,3,东宁市
759,231100,230000,2,黑河市
760,231102,231100,3,爱辉区
761,231123,231100,3,逊克县
762,231124,231100,3,孙吴县
763,231181,231100,3,北安市
764,231182,231100,3,五大连池市
765,231183,231100,3,嫩江市
766,231200,230000,2,绥化市
767,231202,231200,3,北林区
768,231221,231200,3,望奎县
769,231222,231200,3,兰西县
770,231223,231200,3,青冈县
771,231224,231200,3,庆安县
772,231225,231200,3,明水县
773,231226,231200,3,绥棱县
774,231281,231200,3,安达市
775,231282,231200,3,肇东市
776,231283,231200,3,海伦市
777,232700,230000,2,大兴安岭地区
778,232701,232700,3,漠河市
779,232721,232700,3,呼玛县
780,232722,232700,3,塔河县
781,310000,NULL,1,上海
782,310100,310000,2,上海市
783,310101,310100,3,黄浦区
784,310104,310100,3,徐汇区
785,310105,310100,3,长宁区
786,310106,310100,3,静安区
787,310107,310100,3,普陀区
788,310109,310100,3,虹口区
789,310110,310100,3,杨浦区
790,310112,310100,3,闵行区
791,310113,310100,3,宝山区
792,310114,310100,3,嘉定区
793,310115,310100,3,浦东新区
794,310116,310100,3,金山区
795,310117,310100,3,松江区
796,310118,310100,3,青浦区
797,310120,310100,3,奉贤区
798,310151,310100,3,崇明区
799,320000,NULL,1,江苏省
800,320100,320000,2,南京市
801,320102,320100,3,玄武区
802,320104,320100,3,秦淮区
803,320105,320100,3,建邺区
804,320106,320100,3,鼓楼区
805,320111,320100,3,浦口区
806,320113,320100,3,栖霞区
807,320114,320100,3,雨花台区
808,320115,320100,3,江宁区
809,320116,320100,3,六合区
810,320117,320100,3,溧水区
811,320118,320100,3,高淳区
812,320200,320000,2,无锡市
813,320205,320200,3,锡山区
814,320206,320200,3,惠山区
815,320211,320200,3,滨湖区
816,320213,320200,3,梁溪区
817,320214,320200,3,新吴区
818,320281,320200,3,江阴市
819,320282,320200,3,宜兴市
820,320300,320000,2,徐州市
821,320302,320300,3,鼓楼区
822,320303,320300,3,云龙区
823,320305,320300,3,贾汪区
824,320311,320300,3,泉山区
825,320312,320300,3,铜山区
826,320321,320300,3,丰县
827,320322,320300,3,沛县
828,320324,320300,3,睢宁县
829,320381,320300,3,新沂市
830,320382,320300,3,邳州市
831,320400,320000,2,常州市
832,320402,320400,3,天宁区
833,320404,320400,3,钟楼区
834,320411,320400,3,新北区
835,320412,320400,3,武进区
836,320413,320400,3,金坛区
837,320481,320400,3,溧阳市
838,320500,320000,2,苏州市
839,320505,320500,3,虎丘区
840,320506,320500,3,吴中区
841,320507,320500,3,相城区
842,320508,320500,3,姑苏区
843,320509,320500,3,吴江区
844,320581,320500,3,常熟市
845,320582,320500,3,张家港市
846,320583,320500,3,昆山市
847,320585,320500,3,太仓市
848,320600,320000,2,南通市
849,320612,320600,3,通州区
850,320613,320600,3,崇川区
851,320614,320600,3,海门区
852,320623,320600,3,如东县
853,320681,320600,3,启东市
854,320682,320600,3,如皋市
855,320685,320600,3,海安市
856,320700,320000,2,连云港市
857,320703,320700,3,连云区
858,320706,320700,3,海州区
859,320707,320700,3,赣榆区
860,320722,320700,3,东海县
861,320723,320700,3,灌云县
862,320724,320700,3,灌南县
863,320800,320000,2,淮安市
864,320803,320800,3,淮安区
865,320804,320800,3,淮阴区
866,320812,320800,3,清江浦区
867,320813,320800,3,洪泽区
868,320826,320800,3,涟水县
869,320830,320800,3,盱眙县
870,320831,320800,3,金湖县
871,320900,320000,2,盐城市
872,320902,320900,3,亭湖区
873,320903,320900,3,盐都区
874,320904,320900,3,大丰区
875,320921,320900,3,响水县
876,320922,320900,3,滨海县
877,320923,320900,3,阜宁县
878,320924,320900,3,射阳县
879,320925,320900,3,建湖县
880,320981,320900,3,东台市
881,321000,320000,2,扬州市
882,321002,321000,3,广陵区
883,321003,321000,3,邗江区
884,321012,321000,3,江都区
885,321023,321000,3,宝应县
886,321081,321000,3,仪征市
887,321084,321000,3,高邮市
888,321100,320000,2,镇江市
889,321102,321100,3,京口区
890,321111,321100,3,润州区
891,321112,321100,3,丹徒区
892,321181,321100,3,丹阳市
893,321182,321100,3,扬中市
894,321183,321100,3,句容市
895,321200,320000,2,泰州市
896,321202,321200,3,海陵区
897,321203,321200,3,高港区
898,321204,321200,3,姜堰区
899,321281,321200,3,兴化市
900,321282,321200,3,靖江市
901,321283,321200,3,泰兴市
902,321300,320000,2,宿迁市
903,321302,321300,3,宿城区
904,321311,321300,3,宿豫区
905,321322,321300,3,沭阳县
906,321323,321300,3,泗阳县
907,321324,321300,3,泗洪县
908,330000,NULL,1,浙江省
909,330100,330000,2,杭州市
910,330102,330100,3,上城区
911,330103,330100,3,下城区
912,330104,330100,3,江干区
913,330105,330100,3,拱墅区
914,330106,330100,3,西湖区
915,330108,330100,3,滨江区
916,330109,330100,3,萧山区
917,330110,330100,3,余杭区
918,330111,330100,3,富阳区
919,330112,330100,3,临安区
920,330122,330100,3,桐庐县
921,330127,330100,3,淳安县
922,330182,330100,3,建德市
923,330200,330000,2,宁波市
924,330203,330200,3,海曙区
925,330205,330200,3,江北区
926,330206,330200,3,北仑区
927,330211,330200,3,镇海区
928,330212,330200,3,鄞州区
929,330213,330200,3,奉化区
930,330225,330200,3,象山县
931,330226,330200,3,宁海县
932,330281,330200,3,余姚市
933,330282,330200,3,慈溪市
934,330300,330000,2,温州市
935,330302,330300,3,鹿城区
936,330303,330300,3,龙湾区
937,330304,330300,3,瓯海区
938,330305,330300,3,洞头区
939,330324,330300,3,永嘉县
940,330326,330300,3,平阳县
941,330327,330300,3,苍南县
942,330328,330300,3,文成县
943,330329,330300,3,泰顺县
944,330381,330300,3,瑞安市
945,330382,330300,3,乐清市
946,330383,330300,3,龙港市
947,330400,330000,2,嘉兴市
948,330402,330400,3,南湖区
949,330411,330400,3,秀洲区
950,330421,330400,3,嘉善县
951,330424,330400,3,海盐县
952,330481,330400,3,海宁市
953,330482,330400,3,平湖市
954,330483,330400,3,桐乡市
955,330500,330000,2,湖州市
956,330502,330500,3,吴兴区
957,330503,330500,3,南浔区
